# The power spectrum definition is smaller than CAMB by a factor 8 pi^3.
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
         0.54117       0.0217603       0.0217603       0.0217603
         0.57544       0.0190619       0.0190619       0.0190619
        0.611881       0.0166754       0.0166754       0.0166754
        0.650629        0.014575        0.014575        0.014575
        0.691831       0.0127293       0.0127293       0.0127293
        0.735642       0.0111061       0.0111061       0.0111061
        0.782228      0.00968168      0.00968168      0.00968168
        0.831764      0.00843323      0.00843323      0.00843323
        0.884437      0.00733976      0.00733976      0.00733976
        0.940445       0.0063829       0.0063829       0.0063829
               1       0.0055464       0.0055464       0.0055464
         1.06333      0.00481584      0.00481584      0.00481584
         1.13066      0.00417837      0.00417837      0.00417837
         1.20226      0.00362263      0.00362263      0.00362263
          1.2784      0.00313858      0.00313858      0.00313858
         1.35936      0.00271733      0.00271733      0.00271733
         1.44544      0.00235097      0.00235097      0.00235097
         1.53697      0.00203266      0.00203266      0.00203266
         1.63431      0.00175628      0.00175628      0.00175628
          1.7378      0.00151652      0.00151652      0.00151652
         1.84785      0.00130867      0.00130867      0.00130867
         1.96487       0.0011286       0.0011286       0.0011286
          2.0893     0.000972734     0.000972734     0.000972734
          2.2216     0.000837898     0.000837898     0.000837898
         2.36229     0.000721336     0.000721336     0.000721336
         2.51189     0.000620641     0.000620641     0.000620641
         2.67096     0.000533708     0.000533708     0.000533708
          2.8401     0.000458706     0.000458706     0.000458706
         3.01995     0.000394036     0.000394036     0.000394036
         3.21119     0.000338309     0.000338309     0.000338309
         3.41455     0.000290318     0.000290318     0.000290318
         3.63078     0.000249012     0.000249012     0.000249012
         3.86071      0.00021348      0.00021348      0.00021348
         4.10519     0.000182932     0.000182932     0.000182932
         4.36516     0.000156684     0.000156684     0.000156684
         4.64159     0.000134141     0.000134141     0.000134141
         4.93552     0.000114792     0.000114792     0.000114792
         5.24807     9.81912e-05     9.81912e-05     9.81912e-05
         5.58042     8.39561e-05     8.39561e-05     8.39561e-05
         5.93381     7.17553e-05     7.17553e-05     7.17553e-05
         6.30957      6.1303e-05      6.1303e-05      6.1303e-05
         6.70914     5.23528e-05     5.23528e-05     5.23528e-05
           7.134     4.46921e-05     4.46921e-05     4.46921e-05
         7.58578     3.81382e-05     3.81382e-05     3.81382e-05
         8.06616     3.25335e-05     3.25335e-05     3.25335e-05
         8.57696     2.77425e-05     2.77425e-05     2.77425e-05
         9.12011     2.36488e-05     2.36488e-05     2.36488e-05
         9.69765     2.01522e-05     2.01522e-05     2.01522e-05
         10.3118     1.71669e-05     1.71669e-05     1.71669e-05
         10.9648     1.46191e-05     1.46191e-05     1.46191e-05
         11.6591     1.24454e-05     1.24454e-05     1.24454e-05
         12.3975     1.05916e-05     1.05916e-05     1.05916e-05
         13.1826     9.01119e-06     9.01119e-06     9.01119e-06
         14.0174      7.6643e-06      7.6643e-06      7.6643e-06
          14.905     6.51682e-06     6.51682e-06     6.51682e-06
         15.8489     5.53955e-06     5.53955e-06     5.53955e-06
         16.8526     4.70751e-06     4.70751e-06     4.70751e-06
         17.9198     3.99935e-06     3.99935e-06     3.99935e-06
         19.0546      3.3968e-06      3.3968e-06      3.3968e-06
         20.2613     2.88428e-06     2.88428e-06     2.88428e-06
         21.5443     2.44846e-06     2.44846e-06     2.44846e-06
         22.9087     2.07797e-06     2.07797e-06     2.07797e-06
         24.3594      1.7631e-06      1.7631e-06      1.7631e-06
          25.902     1.49559e-06     1.49559e-06     1.49559e-06
         27.5423     1.26836e-06     1.26836e-06     1.26836e-06
         29.2864     1.07541e-06     1.07541e-06     1.07541e-06
         31.1411     9.11599e-07     9.11599e-07     9.11599e-07
         33.1131     7.72571e-07     7.72571e-07     7.72571e-07
         35.2101     6.54603e-07     6.54603e-07     6.54603e-07
         37.4398      5.5453e-07      5.5453e-07      5.5453e-07
         39.8107     4.69656e-07     4.69656e-07     4.69656e-07
         42.3318     3.97692e-07     3.97692e-07     3.97692e-07
         45.0125     3.36686e-07     3.36686e-07     3.36686e-07
          47.863     2.84982e-07     2.84982e-07     2.84982e-07
          50.894     2.41171e-07     2.41171e-07     2.41171e-07
          54.117     2.04057e-07     2.04057e-07     2.04057e-07
          57.544     1.72621e-07     1.72621e-07     1.72621e-07
         61.1881     1.46002e-07     1.46002e-07     1.46002e-07
         65.0629     1.23465e-07     1.23465e-07     1.23465e-07
         69.1831     1.04389e-07     1.04389e-07     1.04389e-07
         73.5642     8.82446e-08     8.82446e-08     8.82446e-08
         78.2228     7.45844e-08     7.45844e-08     7.45844e-08
         83.1764     6.30282e-08     6.30282e-08     6.30282e-08
         88.4437     5.32538e-08     5.32538e-08     5.32538e-08
         94.0445     4.49879e-08     4.49879e-08     4.49879e-08
             100      3.7999e-08      3.7999e-08      3.7999e-08
         106.333     3.20908e-08     3.20908e-08     3.20908e-08
         113.066     2.70971e-08     2.70971e-08     2.70971e-08
         120.226      2.2877e-08      2.2877e-08      2.2877e-08
          127.84     1.93113e-08     1.93113e-08     1.93113e-08
         135.936      1.6299e-08      1.6299e-08      1.6299e-08
         144.544     1.37546e-08     1.37546e-08     1.37546e-08
         153.697     1.16057e-08     1.16057e-08     1.16057e-08
         163.431     9.79123e-09     9.79123e-09     9.79123e-09
          173.78      8.2593e-09      8.2593e-09      8.2593e-09
         184.785     6.96612e-09     6.96612e-09     6.96612e-09
         196.487     5.87464e-09     5.87464e-09     5.87464e-09
          208.93     4.95354e-09     4.95354e-09     4.95354e-09
          222.16     4.17632e-09     4.17632e-09     4.17632e-09
         236.229     3.52061e-09     3.52061e-09     3.52061e-09
         251.189     2.96748e-09     2.96748e-09     2.96748e-09
         267.096     2.50095e-09     2.50095e-09     2.50095e-09
          284.01     2.10751e-09     2.10751e-09     2.10751e-09
         301.995     1.77576e-09     1.77576e-09     1.77576e-09
         321.119     1.49605e-09     1.49605e-09     1.49605e-09
         341.455     1.26026e-09     1.26026e-09     1.26026e-09
         363.078     1.06151e-09     1.06151e-09     1.06151e-09
         386.071     8.94006e-10     8.94006e-10     8.94006e-10
         410.519      7.5285e-10      7.5285e-10      7.5285e-10
         436.516     6.33913e-10     6.33913e-10     6.33913e-10
         464.159     5.33709e-10     5.33709e-10     5.33709e-10
         493.552     4.49298e-10     4.49298e-10     4.49298e-10
         524.807     3.78198e-10     3.78198e-10     3.78198e-10
         558.042     3.18317e-10     3.18317e-10     3.18317e-10
         593.381      2.6789e-10      2.6789e-10      2.6789e-10
         630.957     2.25429e-10     2.25429e-10     2.25429e-10
         670.914      1.8968e-10      1.8968e-10      1.8968e-10
           713.4     1.59584e-10     1.59584e-10     1.59584e-10
         758.578     1.34251e-10     1.34251e-10     1.34251e-10
         806.616     1.12929e-10     1.12929e-10     1.12929e-10
         857.696     9.49844e-11     9.49844e-11     9.49844e-11
         912.011      7.9884e-11      7.9884e-11      7.9884e-11
         969.765     6.71782e-11     6.71782e-11     6.71782e-11
         1031.18     5.64882e-11     5.64882e-11     5.64882e-11
         1096.48     4.74952e-11     4.74952e-11     4.74952e-11
         1165.91     3.99304e-11     3.99304e-11     3.99304e-11
         1239.75     3.35676e-11     3.35676e-11     3.35676e-11
         1318.26     2.82164e-11     2.82164e-11     2.82164e-11
         1401.74     2.37162e-11     2.37162e-11     2.37162e-11
          1490.5     1.99321e-11     1.99321e-11     1.99321e-11
         1584.89     1.67505e-11     1.67505e-11     1.67505e-11
         1685.26     1.40756e-11     1.40756e-11     1.40756e-11
         1791.98     1.18269e-11     1.18269e-11     1.18269e-11
         1905.46     9.93666e-12     9.93666e-12     9.93666e-12
         2026.13      8.3479e-12      8.3479e-12      8.3479e-12
         2154.43     7.01263e-12     7.01263e-12     7.01263e-12
         2290.87      5.8905e-12      5.8905e-12      5.8905e-12
         2435.94     4.94756e-12     4.94756e-12     4.94756e-12
          2590.2     4.15526e-12     4.15526e-12     4.15526e-12
         2754.23     3.48958e-12     3.48958e-12     3.48958e-12
         2928.64     2.93034e-12     2.93034e-12     2.93034e-12
         3114.11     2.46054e-12     2.46054e-12     2.46054e-12
         3311.31     2.06592e-12     2.06592e-12     2.06592e-12
         3521.01     1.73447e-12     1.73447e-12     1.73447e-12
         3743.98      1.4561e-12      1.4561e-12      1.4561e-12
         3981.07     1.22232e-12     1.22232e-12     1.22232e-12
         4233.18     1.02601e-12     1.02601e-12     1.02601e-12
         4501.25     8.61165e-13     8.61165e-13     8.61165e-13
          4786.3      7.2276e-13      7.2276e-13      7.2276e-13
          5089.4     6.06561e-13     6.06561e-13     6.06561e-13
          5411.7      5.0901e-13      5.0901e-13      5.0901e-13
          5754.4     4.27121e-13     4.27121e-13     4.27121e-13
         6118.81     3.58384e-13     3.58384e-13     3.58384e-13
         6506.29     3.00691e-13     3.00691e-13     3.00691e-13
         6918.31     2.52269e-13     2.52269e-13     2.52269e-13
         7356.42     2.11633e-13     2.11633e-13     2.11633e-13
         7822.28     1.77531e-13     1.77531e-13     1.77531e-13
         8317.64     1.48916e-13     1.48916e-13     1.48916e-13
         8844.37     1.24906e-13     1.24906e-13     1.24906e-13
         9404.45     1.04761e-13     1.04761e-13     1.04761e-13
